book_name,price,image,link
Ultimate English Vocabulary By Shanu Sir Pocket Book Wi...,₹169,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/n/p/6/english-vocabulary-with-9100-words-mini-book-for-all-competitive-original-imagzgg3pyesvz2s.jpeg?q=70,https://www.flipkart.com/ultimate-english-vocabulary-shanu-sir-pocket-book-9100-words-all-competitive-exams-ssc-cgl-ssc-chsl-ssc-cpo-ssc-mts-bank-po-clerk-nda-cds-air-force-teaching-army-building-superior-45-days-adda247/p/itm4277fe4602c7e?pid=RBKGZHQHZAZHGPYJ&lid=LSTRBKGZHQHZAZHGPYJUUUDUZ&marketplace=FLIPKART&q=books&store=bks&srno=s_22_869&otracker=search&fm=organic&iid=976cd19e-ce9f-47ca-8bdf-01f58bb71a06.RBKGZHQHZAZHGPYJ.SEARCH&ppt=None&ppn=None&ssid=xjawgi6tm80000001723900741201&qH=7d8949bcbf85067f
Lean Startup + Shoe Dog (Best Selling Combo),₹385,https://rukminim2.flixcart.com/image/612/612/ksuowi80/regionalbooks/y/y/7/lean-startup-shoe-dog-best-selling-combo-original-imag6bw32yy9e2cm.jpeg?q=70,https://www.flipkart.com/lean-startup-shoe-dog-best-selling-combo/p/itme3abef65dc4c9?pid=RBKG6BW333J7DQWC&lid=LSTRBKG6BW333J7DQWCYNMHYJ&marketplace=FLIPKART&q=books&store=bks&srno=s_22_870&otracker=search&fm=organic&iid=976cd19e-ce9f-47ca-8bdf-01f58bb71a06.RBKG6BW333J7DQWC.SEARCH&ppt=None&ppn=None&ssid=xjawgi6tm80000001723900741201&qH=7d8949bcbf85067f
PW 37 Years NEET Previous Year Solved Question Papers P...,"₹1,206",https://rukminim2.flixcart.com/image/612/612/xif0q/book/g/l/j/pw-37-years-neet-previous-year-solved-question-papers-physics-original-imahfaa9t5hhxgsk.jpeg?q=70,https://www.flipkart.com/pw-37-years-neet-previous-year-solved-question-papers-physics-chemistry-biology-combo-set-3-books-pyqs-chapterwise-topicwise-solutions-exam-2025-newly-added-topics/p/itm2955f44d717b5?pid=9789360344214&lid=LSTBOK97893603442144GLMOG&marketplace=FLIPKART&q=books&store=bks&srno=s_22_871&otracker=search&fm=organic&iid=en_c09Su5iQMqvnuh8LkGRcOYtuSRhJWzCkCNgAzLGn5uoSCC0cIBmx0ZapMe01d2M_GAiudHANthFlkGXVl-uFcw%3D%3D&ppt=None&ppn=None&ssid=xjawgi6tm80000001723900741201&qH=7d8949bcbf85067f
Pathfinder NDA/NA National Defence Academy & Naval Acad...,₹589,https://rukminim2.flixcart.com/image/612/612/xif0q/book/p/1/1/nda-na-entrance-exam-original-imagk2fqeebaa2zu.jpeg?q=70,https://www.flipkart.com/pathfinder-nda-na-national-defence-academy-naval-entrance-examination/p/itm12eb8702c25c5?pid=9789327194180&lid=LSTBOK97893271941808GGZCJ&marketplace=FLIPKART&q=books&store=bks&srno=s_22_872&otracker=search&fm=organic&iid=en_c09Su5iQMqvnuh8LkGRcOYtuSRhJWzCkCNgAzLGn5uo1WPMxM-yc6SwCiGaBrh_27j6M4wbKwJH6FPAfUhajiuo15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=xjawgi6tm80000001723900741201&qH=7d8949bcbf85067f
Puja OMR Answer Practice Sheets For Jawahar Navodaya Vi...,₹150,https://rukminim2.flixcart.com/image/612/612/l3xcr680/regionalbooks/k/a/3/puja-omr-answer-practice-sheets-for-jawahar-navodaya-vidyalaya-original-imagexsprbrvefxb.jpeg?q=70,https://www.flipkart.com/puja-omr-answer-practice-sheets-jawahar-navodaya-vidyalaya-jnv-class-6-set-3-includes-24-sets/p/itm3e0863563ed81?pid=RBKGEG7KFWKBVDRB&lid=LSTRBKGEG7KFWKBVDRBTLPR3O&marketplace=FLIPKART&q=books&store=bks&srno=s_22_873&otracker=search&fm=organic&iid=976cd19e-ce9f-47ca-8bdf-01f58bb71a06.RBKGEG7KFWKBVDRB.SEARCH&ppt=None&ppn=None&ssid=xjawgi6tm80000001723900741201&qH=7d8949bcbf85067f
IIT-JAM M.Sc. GEOLOGY Entrance Exam Guide With Previous...,₹380,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/l/k/h/iit-jam-m-sc-geology-entrance-exam-guide-with-previous-years-original-imagwpv7rkx9teyg.jpeg?q=70,https://www.flipkart.com/iit-jam-m-sc-geology-entrance-exam-guide-previous-years-paper-solved-collection-various-exams-mcqs-paperback-3-october-2023/p/itm41315b05e6cd4?pid=RBKGWPV7KYCHWKWX&lid=LSTRBKGWPV7KYCHWKWXPNDKNC&marketplace=FLIPKART&q=books&store=bks&srno=s_22_874&otracker=search&fm=organic&iid=976cd19e-ce9f-47ca-8bdf-01f58bb71a06.RBKGWPV7KYCHWKWX.SEARCH&ppt=None&ppn=None&ssid=xjawgi6tm80000001723900741201&qH=7d8949bcbf85067f
UPPSC Review Officer RO / ARO Samiksha Adhikari Hindi &...,₹160,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/e/9/g/uppsc-review-officer-ro-aro-samiksha-adhikari-hindi-alekhan-2024-original-imagxdzdfbf3wefh.jpeg?q=70,https://www.flipkart.com/uppsc-review-officer-ro-aro-samiksha-adhikari-hindi-alekhan-2024/p/itmd353ab66899ba?pid=RBKGXDZDDB3R5GZP&lid=LSTRBKGXDZDDB3R5GZP4QX6PA&marketplace=FLIPKART&q=books&store=bks&srno=s_22_875&otracker=search&fm=organic&iid=976cd19e-ce9f-47ca-8bdf-01f58bb71a06.RBKGXDZDDB3R5GZP.SEARCH&ppt=None&ppn=None&ssid=xjawgi6tm80000001723900741201&qH=7d8949bcbf85067f
Twisted Series :- Twisted Love + Twisted Games + Twiste...,₹487,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/v/s/v/twisted-series-twisted-love-twisted-games-twisted-hate-twisted-original-imagjbp3kqjmeshr.jpeg?q=70,https://www.flipkart.com/twisted-series-love-games-hate-lies-2021/p/itm5001859575848?pid=RBKGJBPJJ2F74B9F&lid=LSTRBKGJBPJJ2F74B9F6YER5H&marketplace=FLIPKART&q=books&store=bks&srno=s_22_876&otracker=search&fm=organic&iid=976cd19e-ce9f-47ca-8bdf-01f58bb71a06.RBKGJBPJJ2F74B9F.SEARCH&ppt=None&ppn=None&ssid=xjawgi6tm80000001723900741201&qH=7d8949bcbf85067f
OBJECTIVE Computer Awareness,₹145,https://rukminim2.flixcart.com/image/612/612/l3vxbbk0/book/q/e/v/objective-computer-awareness-original-imagewkcs7jk4df2.jpeg?q=70,https://www.flipkart.com/objective-computer-awareness/p/itm02aa5ebd670ff?pid=9789325794177&lid=LSTBOK9789325794177D71BNZ&marketplace=FLIPKART&q=books&store=bks&srno=s_22_877&otracker=search&fm=organic&iid=en_c09Su5iQMqvnuh8LkGRcOYtuSRhJWzCkCNgAzLGn5upXIXQ36i1blg3MtG3trRoTin5s-o_B2rx2SmOiY91jK0hz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=xjawgi6tm80000001723900741201&qH=7d8949bcbf85067f
Technical Analysis Aur Candlesticks Ki Pechan : Trading...,₹225,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/c/m/q/technical-analysis-aur-candlesticks-ki-pechan-trading-chart-original-imah2sx2bpw5chmu.jpeg?q=70,https://www.flipkart.com/technical-analysis-aur-candlesticks-ki-pechan-trading-chart-patterns-candlestick-hindi-book-ravi-patel/p/itm9c1af4f00cc55?pid=RBKGGYVYEWVFAHJB&lid=LSTRBKGGYVYEWVFAHJB1GKV3H&marketplace=FLIPKART&q=books&store=bks&srno=s_22_878&otracker=search&fm=organic&iid=en_c09Su5iQMqvnuh8LkGRcOYtuSRhJWzCkCNgAzLGn5upTkW32Fb1kh1VTOLT34WJqWAWO7YgxbH6TZO-op5ucsA%3D%3D&ppt=None&ppn=None&ssid=xjawgi6tm80000001723900741201&qH=7d8949bcbf85067f
Trading Chart Pattern & Candlestick Book For Beginners ...,₹189,https://rukminim2.flixcart.com/image/612/612/xif0q/book/s/n/f/-original-imah2uvhgjyuj9sp.jpeg?q=70,https://www.flipkart.com/trading-chart-pattern-candlestick-book-beginners/p/itm1c37a0a4abe74?pid=9789357599290&lid=LSTBOK9789357599290ZI10CX&marketplace=FLIPKART&q=books&store=bks&srno=s_22_879&otracker=search&fm=organic&iid=976cd19e-ce9f-47ca-8bdf-01f58bb71a06.9789357599290.SEARCH&ppt=None&ppn=None&ssid=xjawgi6tm80000001723900741201&qH=7d8949bcbf85067f
Best Notes Khan Sir Use Full For All Competitive Exam G...,₹899,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/g/y/h/best-notes-khan-sir-use-full-for-all-competitive-exam-geography-original-imagvpyymgta7vxf.jpeg?q=70,https://www.flipkart.com/best-notes-khan-sir-use-full-all-competitive-exam-geography-polity-economics-biology-history-indian-map-physics-world-chemistry/p/itmb93c6a8101b7c?pid=RBKGVPYYHWZQADHS&lid=LSTRBKGVPYYHWZQADHSQULQAF&marketplace=FLIPKART&q=books&store=bks&srno=s_22_880&otracker=search&fm=organic&iid=976cd19e-ce9f-47ca-8bdf-01f58bb71a06.RBKGVPYYHWZQADHS.SEARCH&ppt=None&ppn=None&ssid=xjawgi6tm80000001723900741201&qH=7d8949bcbf85067f
General Practice Guide 3rd Edition,₹438,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/u/s/n/general-practice-guide-3rd-edition-original-imagpekqg22fyhnz.jpeg?q=70,https://www.flipkart.com/general-practice-guide-3rd/p/itmc84c7a226abf5?pid=RBKGPEKQDAEKFCX5&lid=LSTRBKGPEKQDAEKFCX5VNNN3J&marketplace=FLIPKART&q=books&store=bks&srno=s_23_881&otracker=search&fm=organic&iid=en_JsJQMyWqyaBYLzMBjJWM2f1lDtVOoTviGceLXZ6K1zMQCPwz5D5uw3sHh7RGeLS-qURTBqTcnDYx-b6TEQWZig%3D%3D&ppt=None&ppn=None&ssid=rktopz2z7k0000001723900742899&qH=7d8949bcbf85067f
General Practice Guide Second Edition,₹360,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/t/g/6/general-practice-guide-second-edition-original-imagkqgfzp99pwx6.jpeg?q=70,https://www.flipkart.com/general-practice-guide-second/p/itmab3a685570577?pid=RBKGKQGFZUKHNZYV&lid=LSTRBKGKQGFZUKHNZYVRVIRSE&marketplace=FLIPKART&q=books&store=bks&srno=s_23_882&otracker=search&fm=organic&iid=en_JsJQMyWqyaBYLzMBjJWM2f1lDtVOoTviGceLXZ6K1zPF8jZ-y_jDRlO0BRpGglJi53v68preekS3XHaw4TTkjw%3D%3D&ppt=None&ppn=None&ssid=rktopz2z7k0000001723900742899&qH=7d8949bcbf85067f
TulsiDas Rachit RamCharitManas Big Font Code-81 Publish...,₹515,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/3/p/l/tulsidas-rachit-ramcharitmanas-big-font-code-81-published-by-original-imaghkfpgvqkycxz.jpeg?q=70,https://www.flipkart.com/tulsidas-rachit-ramcharitmanas-big-font-code-81-published-geeta-press-hardcover-coming-along-specially-designed-wooden-book-stand-reading/p/itm431cd804fdc7c?pid=RBKGHKFPJZJG9AYG&lid=LSTRBKGHKFPJZJG9AYGZNLLOJ&marketplace=FLIPKART&q=books&store=bks&srno=s_23_883&otracker=search&fm=organic&iid=e06f759a-8a9a-42e6-9469-f581fb3d26d2.RBKGHKFPJZJG9AYG.SEARCH&ppt=None&ppn=None&ssid=rktopz2z7k0000001723900742899&qH=7d8949bcbf85067f
